Combination,Mean,Std Dev,CV
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,15.35,28.332446064538797,1.8457619465773683
175,7.1,21.321116293477694,3.002974083546519
176,1.25,5.448623679425842,4.358898594828786
177,5.45,12.769005442868288,2.3429367355182777
178,5.1,13.721880337621371,2.690564719326451
179,13.3,21.794724132229803,1.638701050252609
180,7.7,25.752863918407215,3.344527738175901
181,1.55,6.756293362488044,4.358898662321405
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,5.05,16.36910199125169,3.241406270715062
185,12.3,26.055901442859355,2.1183659537416877
186,14.6,32.455199891542804,2.2229588814552685
187,11.3,21.22993170031407,1.8787550011007583
188,1.25,4.27638866334668,3.421110656988491
189,3.05,10.234622611508447,3.35561386096625
190,8.05,21.03918962317703,2.6135638958783405
191,11.15,19.723780063669338,1.7689488687690091
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,2.0,6.511528238439882,3.2557639564317435
207,10.3,33.92506448041035,3.2936955486447372
208,0.0,0.0,0.0
209,2.1,9.153687781435416,4.358898735974067
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.3,1.3076696830622023,4.3588974905748445
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,3.1,11.427598172844547,3.686321872326568
220,6.1,20.760298649104257,3.403327591601885
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,4.7,20.486825034641168,4.358898850798145
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.7,3.051229260478472,4.358898320840915
230,0.5,1.5,2.9999994000001204
231,0.0,0.0,0.0
232,1.15,4.015905875391006,3.4920917618972434
233,1.05,4.576843890717708,4.35889852840748
234,0.45,1.9615045245933034,4.35889797489668
235,3.15,13.730531672153123,4.3588988051629345
236,4.45,15.054816505025888,3.383104756565261
237,4.45,16.84777433372135,3.7860166191280196
238,6.8,19.973983077994234,2.9373504094498815
239,7.05,20.348157164716415,2.8862633866794436
240,0.0,0.0,0.0
241,0.7,3.051229260478472,4.358898320840915
242,1.85,8.063963045550244,4.358898707924525
243,0.9,3.9230090491866068,4.358898459218623
244,7.9,20.56915165970634,2.6036900505490292
245,7.05,23.378355374148967,3.316078729438453
246,0.0,0.0,0.0
247,3.85,11.680218319877417,3.0338228614273066
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,10.55,29.860467176519528,2.830376008860846
251,2.9,9.060353193998566,3.124259614335381
252,0.0,0.0,0.0
253,5.9,15.469001260585637,2.6218645759998607
254,0.0,0.0,0.0
255,8.6,16.959952830123083,1.972087515455155
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,0.0,0.0,0.0
262,0.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,12.65,18.687629598212826,1.4772829605126112
280,0.0,0.0,0.0
281,0.0,0.0,0.0
282,7.6,15.353826884526217,2.0202403529608133
283,0.0,0.0,0.0
284,0.7,2.8301943396169813,4.043134193290803
285,1.6,6.974238309665077,4.358898671109506
286,5.95,18.990721418629676,3.1917178318416624
287,0.0,0.0,0.0
288,0.0,0.0,0.0
289,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
292,3.0,13.076696830622021,4.358898798244048
293,0.0,0.0,0.0
294,6.3,16.08135566424672,2.55259609666462
295,9.2,22.844255295369116,2.4830712007676086
