Combination,Highest Level of Toleration,Mean,Std Dev
260,N/A,N/A,N/A
261,N/A,N/A,N/A
262,N/A,N/A,N/A
263,N/A,N/A,N/A
264,N/A,N/A,N/A
265,N/A,N/A,N/A
266,N/A,N/A,N/A
268,N/A,N/A,N/A
269,N/A,N/A,N/A
270,N/A,N/A,N/A
272,N/A,N/A,N/A
273,N/A,N/A,N/A
274,N/A,N/A,N/A
275,N/A,N/A,N/A
276,N/A,N/A,N/A
280,N/A,N/A,N/A
281,N/A,N/A,N/A
285,N/A,N/A,N/A
287,N/A,N/A,N/A
288,N/A,N/A,N/A
289,N/A,N/A,N/A
290,N/A,N/A,N/A
291,N/A,N/A,N/A
293,N/A,N/A,N/A
296,N/A,N/A,N/A
297,N/A,N/A,N/A
298,N/A,N/A,N/A
301,N/A,N/A,N/A
305,N/A,N/A,N/A
310,N/A,N/A,N/A
313,N/A,N/A,N/A
315,N/A,N/A,N/A
317,N/A,N/A,N/A
318,N/A,N/A,N/A
319,N/A,N/A,N/A
320,N/A,N/A,N/A
321,N/A,N/A,N/A
322,N/A,N/A,N/A
323,N/A,N/A,N/A
324,N/A,N/A,N/A
325,N/A,N/A,N/A
326,N/A,N/A,N/A
328,N/A,N/A,N/A
329,N/A,N/A,N/A
330,N/A,N/A,N/A
332,N/A,N/A,N/A
336,N/A,N/A,N/A
339,N/A,N/A,N/A
342,N/A,N/A,N/A
347,N/A,N/A,N/A
348,N/A,N/A,N/A
352,N/A,N/A,N/A
353,N/A,N/A,N/A
354,N/A,N/A,N/A
356,N/A,N/A,N/A
360,N/A,N/A,N/A
361,N/A,N/A,N/A
362,N/A,N/A,N/A
363,N/A,N/A,N/A
364,N/A,N/A,N/A
365,N/A,N/A,N/A
366,N/A,N/A,N/A
369,N/A,N/A,N/A
374,N/A,N/A,N/A
376,N/A,N/A,N/A
377,N/A,N/A,N/A
380,N/A,N/A,N/A
381,N/A,N/A,N/A
384,N/A,N/A,N/A
385,N/A,N/A,N/A
386,N/A,N/A,N/A
387,N/A,N/A,N/A
388,N/A,N/A,N/A
389,N/A,N/A,N/A
390,N/A,N/A,N/A
391,N/A,N/A,N/A
392,N/A,N/A,N/A
393,N/A,N/A,N/A
394,N/A,N/A,N/A
396,N/A,N/A,N/A
398,N/A,N/A,N/A
399,N/A,N/A,N/A
401,N/A,N/A,N/A
403,N/A,N/A,N/A
405,N/A,N/A,N/A
406,N/A,N/A,N/A
407,N/A,N/A,N/A
411,N/A,N/A,N/A
422,N/A,N/A,N/A
429,N/A,N/A,N/A
434,N/A,N/A,N/A
435,N/A,N/A,N/A
436,N/A,N/A,N/A
437,N/A,N/A,N/A
439,N/A,N/A,N/A
440,N/A,N/A,N/A
441,N/A,N/A,N/A
443,N/A,N/A,N/A
444,N/A,N/A,N/A
449,N/A,N/A,N/A
451,N/A,N/A,N/A
452,N/A,N/A,N/A
454,N/A,N/A,N/A
455,N/A,N/A,N/A
462,N/A,N/A,N/A
467,N/A,N/A,N/A
470,N/A,N/A,N/A
471,N/A,N/A,N/A
472,N/A,N/A,N/A
474,N/A,N/A,N/A
475,N/A,N/A,N/A
476,N/A,N/A,N/A
483,N/A,N/A,N/A
488,N/A,N/A,N/A
496,N/A,N/A,N/A
497,N/A,N/A,N/A
498,N/A,N/A,N/A
502,N/A,N/A,N/A
505,N/A,N/A,N/A
508,N/A,N/A,N/A
463,0.17,0.27,2.68646608
115,0.15,0.11,1.094486181
253,0.15,0.04,0.397994975
495,0.15,0.16,1.591979899
468,0.14,0.25,1.762810256
177,0.13,0.51,3.983704306
185,0.13,0.22,2.188972362
251,0.13,0.14,1.392982412
378,0.13,0.09,0.895488693
415,0.13,0.3,2.984962311
501,0.13,0.29,2.031231154
79,0.12,0.19,1.890476131
229,0.12,0.08,0.79598995
314,0.12,0.59,4.145105548
427,0.12,0.02,0.198997487
461,0.12,0.75,5.093868864
478,0.12,0.05,0.497493719
499,0.12,0.05,0.497493719
506,0.12,0.05,0.497493719
94,0.11,0.12,1.193984925
113,0.11,0.37,3.681453517
