Combination,Noise Level,Mean,Std Dev,CV
48,0.99,3.75,16.345871038277526,4.3588988273033715
49,0.99,1.8,7.8460180983732135,4.358898701379635
50,0.99,8.9,19.240322242623694,2.16183393555509
51,0.99,8.3,20.065143906785224,2.417487188558615
52,0.99,3.15,9.51459405334773,3.0205059527927416
53,0.99,3.3,12.000416659433123,3.636489786601256
54,0.99,2.65,11.551082200382783,4.358898779053927
55,0.99,12.15,34.7739485822361,2.8620533576980054
56,0.99,6.7,23.197198106667965,3.4622683224539004
57,0.99,10.0,22.884492565927697,2.2884492337082776
58,0.99,10.25,32.0435250869813,3.126197538962102
59,0.99,4.3,18.743265457224894,4.358898842170932
60,0.99,1.85,6.166644144103015,3.33332097879509
61,0.99,5.35,15.89740544868879,2.9714775984188844
62,0.99,4.45,13.507312834165052,3.0353511304786376
63,0.99,0.0,0.0,0.0
64,0.99,0.0,0.0,0.0
65,0.99,0.0,0.0,0.0
66,0.99,0.0,0.0,0.0
67,0.99,0.0,0.0,0.0
68,0.99,0.0,0.0,0.0
69,0.99,2.2,9.58957767578948,4.358898745408911
70,0.99,9.7,25.822664463606383,2.6621303296281806
71,0.99,2.1,9.153687781435416,4.358898735974067
72,0.99,6.2,15.167728900530886,2.4464078477242097
73,0.99,7.4,20.81682012219926,2.8130837622825515
74,0.99,0.0,0.0,0.0
75,0.99,11.25,30.436614463504316,2.705476817151701
76,0.99,0.0,0.0,0.0
77,0.99,3.75,14.61463307784359,3.8972353834986806
78,0.99,3.45,13.317188141646119,3.8600544219248336
79,0.99,4.95,21.576549770526338,4.358898855482111
80,0.99,0.0,0.0,0.0
81,0.99,0.7,3.051229260478472,4.358898320840915
82,0.99,0.0,0.0,0.0
83,0.99,2.2,9.58957767578948,4.358898745408911
84,0.99,0.0,0.0,0.0
85,0.99,3.2,13.948476619330155,4.358898807325086
86,0.99,10.2,31.527131173007167,3.090895182737025
87,0.99,6.45,17.425484211349765,2.701625417238329
88,0.99,2.55,11.11519230602872,4.358898772603468
