Combination,Mean,Std Dev,CV
469,1.9,8.281907992727279,4.358898714124951
470,0.0,0.0,0.0
471,2.1,9.153687781435416,4.358898735974067
472,0.0,0.0,0.0
473,0.0,0.0,0.0
474,0.0,0.0,0.0
475,0.0,0.0,0.0
476,0.0,0.0,0.0
477,2.55,8.009213444527497,3.1408678942904737
478,0.0,0.0,0.0
479,1.6,6.974238309665077,4.358898671109506
480,0.0,0.0,0.0
481,2.5,10.897247358851684,4.358898769184723
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,1.2,3.722902093797257,3.1024181529628683
485,2.55,8.918940520039364,3.497623596187061
486,0.0,0.0,0.0
487,0.0,0.0,0.0
488,0.0,0.0,0.0
489,1.15,5.0127337850717755,4.358898564506017
490,0.35,1.525614630239236,4.358897698141332
491,0.5,2.179449471770337,4.35889807176106
492,0.0,0.0,0.0
493,0.0,0.0,0.0
494,4.2,18.30737556287083,4.358898839757368
495,0.75,3.2691742076555053,4.358898362354226
496,0.0,0.0,0.0
497,0.0,0.0,0.0
498,2.85,12.422861989090919,4.358898790596856
499,0.0,0.0,0.0
500,0.3,1.3076696830622023,4.3588974905748445
501,0.0,0.0,0.0
502,0.0,0.0,0.0
503,0.0,0.0,0.0
504,3.1,8.11726554943227,2.618472673414517
505,0.0,0.0,0.0
506,0.55,2.39739441894737,4.358898151013736
507,0.0,0.0,0.0
508,1.35,5.884513573779908,4.358898620659293
509,0.0,0.0,0.0
510,1.25,5.448623679425842,4.358898594828786
511,2.9,8.926925562588725,3.0782500878495576
